Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL515439,,0,347.39,0,2.97,(S)-2b,CC(C)[C@H](NS(=O)(=O)c1ccc2oc3ccccc3c2c1)C(=O)O,IC50,'=',600,nM,6.22,,,UO_0000065,17.91,0.35,3.25,6.44,0,CHEMBL960887,Inhibition of human recombinant MMP12 expressed in Escherichia coli,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1153372,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL474622,,0,448.5,0,3.93,(R)-11,CC(C)OC(=O)Nc1ccc2c(c1)oc1ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc12,IC50,'=',39,nM,7.41,,,UO_0000065,16.52,0.33,3.48,5.49,0,CHEMBL960887,Inhibition of human recombinant MMP12 expressed in Escherichia coli,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1153372,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL523034,,0,420.44,0,3.15,"(S)-14	 MMP408",COC(=O)Nc1ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,IC50,'=',2,nM,8.7,,,UO_0000065,20.69,0.41,5.55,6.45,0,CHEMBL960887,Inhibition of human recombinant MMP12 expressed in Escherichia coli,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1153372,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL492905,,0,500.5,1,4.72,(S)-29,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(NC(=O)Oc3ccc(F)cc3)ccc12)C(=O)O,IC50,'=',16,nM,7.8,,,UO_0000065,15.58,0.3,3.08,5.78,0,CHEMBL960887,Inhibition of human recombinant MMP12 expressed in Escherichia coli,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1153372,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL449228,,0,347.39,0,2.97,(R)-2a,CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3ccccc3c2c1)C(=O)O,IC50,'=',38,nM,7.42,,,UO_0000065,21.36,0.42,4.45,7.68,0,CHEMBL960887,Inhibition of human recombinant MMP12 expressed in Escherichia coli,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1153372,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL475230,,0,440.5,0,2.35,(R)-3a,CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3cc(NS(C)(=O)=O)ccc3c2c1)C(=O)O,IC50,'=',11,nM,7.96,,,UO_0000065,18.07,0.37,5.61,5.57,0,CHEMBL960887,Inhibition of human recombinant MMP12 expressed in Escherichia coli,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1153372,1,Scientific Literature,J. Med. Chem.,2009,None,
CHEMBL429112,,0,551.58,1,0.85,58,Cc1cc(COc2ccc(C(=O)NC3CN(S(C)(=O)=O)CC34C(=O)NC(=O)NC4=O)cc2)c2ccccc2n1,Ki,'=',1290,nM,5.89,,,UO_0000065,10.68,0.21,5.04,3.59,0,CHEMBL902120,Inhibition of MMP12,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1138371,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL240465,,0,600.68,1,2.15,50,Cc1cc(COc2ccc(C(=O)NCC3(N4CCN(C(=O)C(C)(C)C)CC4)C(=O)NC(=O)NC3=O)cc2)c2ccccc2n1,Ki,'=',50,nM,7.3,,,UO_0000065,12.15,0.23,5.15,4.87,0,CHEMBL902120,Inhibition of MMP12,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1138371,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL395878,,0,599.69,1,3.49,42,Cc1cc(COc2ccc(C(=O)NCC3(C4CCN(C(=O)C(C)(C)C)CC4)C(=O)NC(=O)NC3=O)cc2)c2ccccc2n1,Ki,'>',6020,nM,,,,UO_0000065,,,,,0,CHEMBL902120,Inhibition of MMP12,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1138371,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL395877,,0,593.66,1,1.88,41,Cc1cc(COc2ccc(C(=O)NCC3(C4CCN(S(C)(=O)=O)CC4)C(=O)NC(=O)NC3=O)cc2)c2ccccc2n1,Ki,'>',6020,nM,,,,UO_0000065,,,,,0,CHEMBL902120,Inhibition of MMP12,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4393,Matrix metalloproteinase 12,Homo sapiens,SINGLE PROTEIN,CHEMBL1138371,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
