,level_0,index,compound_id,base_rdkit_smiles,relation,PXC50,active,mol_wt
0,0,6,CHEMBL1796288,COc1ccc(C(=O)NCc2ccncc2)cc1,,3.0,0,242.105527688
1,1,167,CHEMBL1796283,Cc1ccc(Oc2ccc(C(=O)NCCc3ccncc3)cc2)cc1,,3.4,0,332.15247788
2,2,156,CHEMBL1796293,N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1,,3.4,0,329.11642672000005
3,3,356,CHEMBL1796292,COc1cc(Oc2ccc(C(=O)NCc3ccncc3)cc2)ccc1[N+](=O)[O-],,3.4,0,379.11682064400003
4,4,119,CHEMBL1796280,Cc1ccc(Oc2ccc(C(=O)NCc3ccccc3)cc2)cc1,,3.4,0,317.14157884800005
5,5,103,CHEMBL1796286,Cc1ccc(Oc2ccc(C(=O)NCCCN(C)C)cc2)cc1,,3.4,0,312.183778008
6,6,7,CHEMBL1939866,CC(=O)Nc1ccc2[nH]c(C3=NCCO3)cc2c1,,3.66,0,243.100776656
7,7,2215,CHEMBL323885,NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CSc1ccccc1OC(F)(F)F)CP(=O)(O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,,3.7,0,782.2150918460001
8,8,937,CHEMBL1440,CN(C)[C@@H]1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,,3.74,0,444.15326572799995
9,9,126,CHEMBL1352521,O=c1oc2ccccc2cc1-c1cn(-c2ccccc2)c(S)n1,,3.75,0,320.0619486240001
10,10,637,CHEMBL1927187,COc1ccc(-c2cs/c(=N\c3ccccc3)n2/N=C/c2ccccc2)cc1OC,,3.85,0,415.135447912
11,11,1105,CHEMBL242073,C[C@@]1(O)c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)[C@@H]([N+](C)(C)C)C3CC21,,3.92,0,459.17619224409003
12,12,337,CHEMBL1927186,COc1ccc(-c2ccc(/C=C3/SC(=S)N(CC(=O)O)C3=O)o2)cc1,,3.92,0,375.0235145159999
13,13,123,CHEMBL1703805,O=C(NCc1ccncc1)c1ccc(OCc2ccccc2)cc1,,4.0,0,318.136827816
14,14,171,CHEMBL2380397,O=S(=O)(N[C@H]1CCC[C@@H]1O)c1ccc(Oc2ccccc2)cc1,,4.0,0,333.10347908800003
15,15,165,CHEMBL1796290,O=C(NCc1ccncc1)c1ccc(OCCc2ccccc2)cc1,,4.0,0,332.15247788
16,16,42,CHEMBL1939861,CCOC(=O)c1cc2cc(N=S(C)(=O)O)ccc2[nH]1,,4.01,0,282.06742792800003
17,17,32,CHEMBL572980,O=C(O)CSCCc1ccc(-c2ccccc2)cc1,,4.02,0,272.087100752
18,18,55,CHEMBL572947,O=C(O)C=S(O)CCc1ccc(-c2ccccc2)cc1,,4.02,0,288.082015372
19,19,408,CHEMBL389020,C[SH](=O)(O)N=Cc1noc([C@H](CCCC2CCCCC2)CC(O)=NO)n1,,4.04,0,388.178040996
20,20,691,CHEMBL1940017,Cc1ccccc1S(=O)(=O)Nc1cc(O)nc(SCc2ccc(Cl)cc2)n1,,4.04,0,421.032161052
21,21,554,CHEMBL1471486,O=S(=O)(Nc1cc(O)nc(SCc2ccc(Cl)cc2)n1)c1ccccc1,,4.05,0,407.01651098800005
22,22,21,CHEMBL1939882,Cc1cc(O)nc(SCc2ccc(Cl)cc2)n1,,4.09,0,266.028061652
23,23,23,CHEMBL1939870,CCOC(=O)c1cc2cc(-c3ccncc3)ccc2[nH]1,,4.09,0,266.105527688
24,24,510,CHEMBL271616,O=C(O)c1ccc(Cn2cnc3ccc(C#CCN4CCCCC4)cc3c2=O)cc1,,4.12,0,401.17394159599996
25,25,194,CHEMBL1720056,Oc1nc(SCc2ccc(OC(F)(F)F)cc2)nc2c1CCC2,,4.12,0,342.06498331600005
26,26,91,CHEMBL1305329,Oc1nc(SCc2ccc(Cl)cc2)nc2ccsc12,,4.16,0,307.984482588
27,27,24,CHEMBL1346856,Nc1cc(O)nc(SCc2ccc(Cl)cc2)n1,,4.17,0,267.02331062
28,28,39,CHEMBL1927185,O=C(O)COc1ccccc1CC1=NC(=S)NC1=O,,4.17,0,278.0361278
29,29,372,CHEMBL1940018,Oc1nc(SCc2ccc(Cl)cc2)nc2c1C(Cc1ccccc1)CC2,,4.18,0,382.090661908
30,30,524,CHEMBL273114,O=C(O)c1ccc(Cn2cnc3ccc(C#CCN4CCOCC4)cc3c2=O)cc1,,4.19,0,403.15320615199994
31,31,278,CHEMBL551190,CC(C)[C@H](NS(=O)(=O)c1ccc2sc3ccccc3c2c1)C(=O)O,,4.22,0,363.05990002399994
32,32,1,CHEMBL270296,N[C@@H]1CCCC[C@H]1NC(=O)P(=O)(O)O,,4.26,0,222.07694358999998
33,33,88,CHEMBL585376,COc1ccc(S(=O)(=O)c2ccccc2CC(=O)O)cc1,,4.26,0,306.056194548
34,34,67,CHEMBL574666,N#Cc1cccc(-c2ccc(CCC(O)CC(=O)O)cc2)c1,,4.28,0,295.120843404
35,35,166,CHEMBL1796282,Cc1ccc(Oc2ccc(C(=O)N(C)Cc3ccncc3)cc2)cc1,,4.3,0,332.15247788
36,36,424,CHEMBL226852,ON=C(O)C[C@@H](CCCC1CCCCC1)c1nc(-c2cnc(O)nc2O)no1,,4.3,0,391.1855689
37,37,134,CHEMBL1796284,Cc1ccc(Oc2ccc(C(=O)NCC3CCCCC3)cc2)cc1,,4.3,0,323.18852904000005
38,38,96,CHEMBL574444,O=C(O)CC(O)CCc1ccc(-c2cc3ccccc3o2)cc1,,4.3,0,310.120509056
39,39,34,CHEMBL1453397,Cc1cccc(CSc2nc(O)c3c(n2)CCC3)c1,,4.31,0,272.098334132
40,40,178,CHEMBL1940020,CS(=O)(=O)c1ccc(CSc2nc(O)c3c(n2)CCC3)cc1,,4.34,0,336.060234372
41,41,882,CHEMBL1784338,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,,4.34,0,439.214092156
42,42,276,CHEMBL575947,O=C(O)CC(O)CCc1ccc(-c2ccc(Oc3ccccc3)cc2)cc1,,4.38,0,362.151809184
