compound_id,Original_Entry_ID,Entrez_ID,Activity_Flag,PXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
JIFLEYNNNKKNOQ-UHFFFAOYNA-N,18411961,4322,A,7.30103,pubchem,109265,9606,MMP13,2676,S(=O)(=O)(CCCS)C1=CC=C(OC)C=C1,COc1ccc(S(=O)(=O)CCCS)cc1,7.30103,,0.0,0
QTUCHEGSWFEUBW-WXRBYKJCNA-N,CHEMBL2385479,4322,A,7.38,chembl20,960928,9606,MMP13,2676,S(=O)(=O)(NCC(=NO)O)C1=CC=CC=C1,O=S(=O)(NCC(O)=NO)c1ccccc1,7.38,,0.0,0
SHMJSERYBLZGBT-UHFFFAOYNA-N,19366844,4322,A,8.22185,pubchem,109265,9606,MMP13,2676,S(=O)(=O)(C(CCC)CCS)C1=CC=C(OC)C=C1,CCCC(CCS)S(=O)(=O)c1ccc(OC)cc1,8.22185,,0.0,0
CGJLUFDUAXAIJE-NDKGDYFDNA-N,CHEMBL2385480,4322,A,7.31,chembl20,960928,9606,MMP13,2676,S(O)(O)(N=CC(=NO)O)=CCC1=CC=CC=C1,ON=C(O)C=N[SH](O)(O)=CCc1ccccc1,7.31,,0.0,0
JDPMCWHMTGTQGU-UHFFFAOYNA-N,44294636,4322,A,6.30103,pubchem,104706,9606,MMP13,2676,S(=O)(=O)(C1CC(S)CC1)C2=CC=C(OC)C=C2,COc1ccc(S(=O)(=O)C2CCC(S)C2)cc1,6.30103,,0.0,0
CARKQNSZFCLNKM-UHFFFAOYNA-N,CHEMBL402747,4322,A,5.77,chembl20,497406,9606,MMP13,2676,C1=C(C=CC(S(=O)(=O)CCCS)=C1)OCC#CC,CC#CCOc1ccc(S(=O)(=O)CCCS)cc1,5.77,,0.0,0
CTONTIQKTODDRQ-UHFFFAOYNA-N,CHEMBL295066,4322,A,7.66,chembl20,101902,9606,MMP13,2676,S(C1CC(S)CCC1)(C=2C=CC(=CC2)OC)(=O)=O,COc1ccc(S(=O)(=O)C2CCCC(S)C2)cc1,7.66,,0.0,0
IEFFRLNSCQIVBY-UHFFFAOYNA-N,CHEMBL243874,4322,A,5.7,chembl20,442207,9606,MMP13,2676,C=1(C=CC(OCC#CC)=CC1)S(=O)(N(CCS)C)=O,CC#CCOc1ccc(S(=O)(=O)N(C)CCS)cc1,5.7,,0.0,0
PKYBEORBMGUOOP-UHFFFAOYNA-N,CHEMBL368972,4322,A,8.4,chembl20,106484,9606,MMP13,2676,S(C=1C=CC(=CC1)OC)(=O)(=O)C(CCS)CC,CCC(CCS)S(=O)(=O)c1ccc(OC)cc1,8.4,,0.0,0
UXTQFUKVODXBBJ-UHFFFAOYNA-N,15516780,4322,A,7.49485,pubchem,109265,9606,MMP13,2676,S(=O)(=O)(CCC(S)C)C1=CC=C(OC)C=C1,COc1ccc(S(=O)(=O)CCC(C)S)cc1,7.49485,,0.0,0
KBSHVFMCGRPZOW-WXRBYKJCNA-N,73356503,4322,A,6.4908,pubchem,748346,9606,MMP13,2676,ClC=1SC(CC=S(O)(O)N=CC(=O)O)=CC1,O=C(O)C=N[SH](O)(O)=CCc1ccc(Cl)s1,6.4908,,0.0,0
HNSDWMLOQWSYEZ-DLGLGFIGNA-N,CHEMBL1939862,4322,N,4.41,chembl20,799144,9606,MMP13,2676,C1(=CC=2C=C(NC2C=C1)C(OCC)=O)C(=O)N,CCOC(=O)c1cc2cc(C(N)=O)ccc2[nH]1,4.41,,0.0,0
QFIZYDOANAJABX-UHFFFAOYNA-N,CHEMBL20159,4322,A,5.83,chembl20,106643,9606,MMP13,2676,C=1(NC(C(O)NO)=CC1C=2C=CC(=CC2)OC)O,COc1ccc(-c2cc(C(O)NO)[nH]c2O)cc1,5.83,,0.0,0
NBYQRHXJDNHGJK-JLOFHYGUNA-N,CHEMBL1346856,4322,N,4.17,chembl20,799259,9606,MMP13,2676,ClC1=CC=C(CSC2=NC(O)=CC(=N2)N)C=C1,Nc1cc(O)nc(SCc2ccc(Cl)cc2)n1,4.17,,0.0,0
KKQBQZXMEPUMLX-UHFFFAOYNA-N,CHEMBL462629,4322,A,5.47,chembl20,518658,9606,MMP13,2676,C=1C=CC=C2N=CC(=NC21)C(C#N)C(OCC)=O,CCOC(=O)C(C#N)c1cnc2ccccc2n1,5.47,,0.0,0
OVOYEPCLDAOCHW-YAQRNVERNA-N,CHEMBL77258,4322,A,7.0,chembl20,104572,9606,MMP13,2676,S(=C(CC(O)=NO)CCCC)(O)(O)=C1CCCCC1,CCCCC(CC(O)=NO)=S(O)(O)=C1CCCCC1,7.0,,0.0,0
WLZISXXOYYGJNT-XWKXFZRBNA-N,CHEMBL83508,4322,A,8.1,chembl20,960928,9606,MMP13,2676,OC(=NO)CNS(=O)(=O)C1=CC=C(OC)C=C1,COc1ccc(S(=O)(=O)NCC(O)=NO)cc1,8.1,,0.0,0
VUWUUGVWGHAIEA-UHFFFAOYNA-N,19366873,4322,A,6.1549,pubchem,109265,9606,MMP13,2676,S(=O)(=O)(CC(CS)(C)C)C1=CC=C(OC)C=C1,COc1ccc(S(=O)(=O)CC(C)(C)CS)cc1,6.1549,,0.0,0
SUZXRAYQMOELIJ-XWKXFZRBNA-N,71817100,4322,A,8.22185,pubchem,748346,9606,MMP13,2676,ClC=1SC(CC=S(O)(O)N=CC(O)=NO)=CC1,ON=C(O)C=N[SH](O)(O)=CCc1ccc(Cl)s1,8.22185,,0.0,0
SOJFCTIYHPWXGZ-XWKXFZRBNA-N,CHEMBL2048511,4322,N,4.63,chembl20,827444,9606,MMP13,2676,O=C(C(C(C)C)OC(CC(C)C)=O)O,CC(C)CC(=O)OC(C(=O)O)C(C)C,4.63,,0.0,0
UGLOKYALFGIDPP-UHFFFAOYNA-N,CHEMBL48969,4322,A,8.7,chembl20,106484,9606,MMP13,2676,S(C1=CC=C(SC2=CC=CC=C2)C=C1)(=O)(=O)CCCS,O=S(=O)(CCCS)c1ccc(Sc2ccccc2)cc1,8.7,,0.0,0
FJWPIYJPNREKAI-YHMJCDSINA-N,15516782,4322,A,7.74473,pubchem,109265,9606,MMP13,2676,S(O)(=O)(CCC(=S)C(OC)=O)C=1C=CC(OC)=CC1,COC(=O)C(=S)CC[SH](=O)(O)c1ccc(OC)cc1,7.74473,,0.0,0
LYTWDWCQUGSJLP-HCKMINDGNA-N,CHEMBL1448518,4322,N,4.5,chembl20,799259,9606,MMP13,2676,BrC1=CC=C(CSC2=NC(O)=C(C(=N2)C)C)C=C1,Cc1nc(SCc2ccc(Br)cc2)nc(O)c1C,4.5,,0.0,0
KHCZZISCPQRODX-YAQRNVERNA-N,CHEMBL1632641,4322,A,7.34,chembl20,694548,9606,MMP13,2676,C=1C(=CC=C(C1)F)S(=O)(N(CCO)CC(=NO)O)=O,O=S(=O)(c1ccc(F)cc1)N(CCO)CC(O)=NO,7.34,,0.0,0
KHJPAHWJFVMVOE-YHMJCDSINA-N,57339413,4322,A,7.92082,pubchem,748346,9606,MMP13,2676,S(O)(O)(N=CC(O)=NO)=CCC1=CC=C(OC)C=C1,COc1ccc(CC=[SH](O)(O)N=CC(O)=NO)cc1,7.92082,,0.0,0
LXSYXSGOVAASBA-WYUMXYHSNA-N,CHEMBL97762,4322,A,7.43,chembl20,106635,9606,MMP13,2676,S(C=1C=CC(=CC1)OCC#CC)(=O)(=O)NCCC(O)=NO,CC#CCOc1ccc(S(=O)(=O)NCCC(O)=NO)cc1,7.43,,0.0,0
KAYFBYGQLVMKBS-WYUMXYHSNA-N,CHEMBL1939882,4322,N,4.09,chembl20,799259,9606,MMP13,2676,N1=C(N=C(C=C1O)C)SCC2=CC=C(C=C2)Cl,Cc1cc(O)nc(SCc2ccc(Cl)cc2)n1,4.09,,0.0,0
