,compound_id,base_rdkit_smiles,relation,pXC50,active
0,CHEMBL1088878,CC#CCOc1ccc(S(=O)(=O)N(CC(C)C)[C@H](CCN2C(=O)c3ccccc3C2=O)C(=O)NO)cc1,,7.5376020021010435,1
1,CHEMBL3971551,CC(C)[C@H](C(=O)O)N(CCNC(=O)c1ccccc1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,,5.73754891026957,0
2,CHEMBL484261,CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)[C@H](C)O)cc1,,6.235077015350112,0
3,CHEMBL1683445,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1)N(O)C=O)c1ncc(F)cn1,,8.119186407719209,1
4,CHEMBL4215407,Cc1cc(COc2ccc(S(=O)(=O)N(C)C3(C(=O)NO)CN(C(=O)C(C)C)C3)cc2)c2ccccc2n1,,5.187086643357144,0
5,CHEMBL4167168,CC(C)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)o1)C(=O)N[C@@H]1CCCC[C@H]1O,<,5.301029995663981,0
6,CHEMBL3337869,COc1cccc(CNC(=O)c2nc3ccccc3c(=O)[nH]2)c1,<,5.0,0
7,CHEMBL2430289,N[C@@H](CCCCNC(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)N1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CC1,,7.0,0
8,CHEMBL4171677,CNC(=O)[C@@H](NC(=O)c1cnc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)c(F)c2)n1C)C(C)C,<,5.301029995663981,0
9,CHEMBL2409704,C[C@]1(CS(=O)(=O)N2CCC(Oc3ccc(OCCC(F)(F)F)cc3)CC2)NC(=O)NC1=O,,5.505706231334667,0
10,CHEMBL579067,COc1ccc(Oc2ccc(S(=O)(=O)c3ccccc3CC(=O)O)cc2)cc1,,5.0915149811213505,0
11,CHEMBL1229868,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)CCOCC1,,7.1938200260161125,1
12,CHEMBL4169181,CC(C)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)cc2)o1)C(=O)NCCN,<,5.301029995663981,0
