Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
XAGOSINCOVXZLN-UHFFFAOYNA-N,658389,4313,N,,pubchem_screening,602330,9606,MMP2,2668,O=C1C(=NC(C)(C)C)CC=CC=C1
AHXNCGUEOCEZLI-UHFFFAOYNA-N,4326087,4313,N,4,pubchem,602361,9606,MMP2,2668,S1C(N2CCCCC2)=CC=C1N(=O)=O
DGEZNRSVGBDHLK-UHFFFAOYNA-N,CHEMBL415879,4313,N,3.6,chembl20,715231,9606,MMP2,2668,N=1C=2C3=NC=CC=C3C=CC2C=CC1
MBKXTRZDNQFIJG-UHFFFAOYNA-N,CHEMBL122868,4313,N,4.85,chembl20,104407,9606,MMP2,2668,S(NO)(C1=CC=C(C=C1)OC)(=O)=O
WDFKMLRRRCGAKS-UHFFFAOYNA-N,2722,4313,N,,pubchem_screening,602330,9606,MMP2,2668,ClC1=C2C(N=CC=C2)=C(O)C(Cl)=C1
SLJWCCMDGTZEGQ-UHFFFAOYNA-N,CHEMBL240963,4313,N,3.6,chembl20,715231,9606,MMP2,2668,O=C1C2=CC=CC=C2C(=O)CC1=O
UYGXLIUFUDWVHR-UHFFFAOYNA-N,CHEMBL121729,4313,N,4.68,chembl20,104407,9606,MMP2,2668,S(NO)(C=1C=CC(N(=O)=O)=CC1)(=O)=O
YNYVAXYTOIAEND-UHFFFAOYNA-N,CHEMBL121592,4313,N,4.64,chembl20,104407,9606,MMP2,2668,S(C1=CC(N(=O)=O)=CC=C1)(NO)(=O)=O
ZSKUUEWWODNZDU-UHFFFAOYNA-N,1480557,4313,N,,pubchem_screening,602330,9606,MMP2,2668,S=C1N(CC)C(=O)CC(=N1)C(F)(F)F
BRWYIVVRBSLDDK-UHFFFAOYNA-N,761546,4313,N,,pubchem_screening,602330,9606,MMP2,2668,BrC=1C=2C(=N(=O)C=CC2)C(O)=C(Br)C1
CDRGZNIXJYUKQP-UHFFFAOYNA-N,CHEMBL121501,4313,N,4.42,chembl20,104407,9606,MMP2,2668,S(C1=C(N(=O)=O)C=CC=C1)(NO)(=O)=O
AWBFTBBHLBKDMO-WQLSENKSNA-N,5386563,4313,N,,pubchem_screening,602330,9606,MMP2,2668,BrCC1(C\2(CCC1C/C2=N/O)C)C
DQQSOHZJORLWBZ-UHFFFAOYNA-N,3237878,4313,N,,pubchem_screening,602330,9606,MMP2,2668,ClC=1C=2N=C(SC2C=CC1)N3CCOCC3
PPKBHBYMQVUYAM-UHFFFAOYNA-N,2201244,4313,N,,pubchem_screening,602330,9606,MMP2,2668,S(C=1N(C(=NN1)CN2CCOCC2)C)CCC
QUKKUCBDZCSTAS-UHFFFAOYNA-N,275253,4313,N,4,pubchem,602361,9606,MMP2,2668,ClC=1SC(C=NN2C(=O)CSC2=S)=CC1
QQRCALUVCOFAOX-BLEIPKOVNA-N,CHEMBL329784,4313,A,5.52,chembl20,861930,9606,MMP2,2668,P(C(NC1CCCCC1)=O)(=O)(O)O
