Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
DGEZNRSVGBDHLK-UHFFFAOYNA-N,CHEMBL415879,4317,N,3.6,chembl20,715233,9606,MMP8,2671,N=1C=2C3=NC=CC=C3C=CC2C=CC1
MBKXTRZDNQFIJG-UHFFFAOYNA-N,CHEMBL122868,4317,N,4.8,chembl20,105195,9606,MMP8,2671,S(NO)(C1=CC=C(C=C1)OC)(=O)=O
SLJWCCMDGTZEGQ-UHFFFAOYNA-N,CHEMBL240963,4317,N,3.6,chembl20,715233,9606,MMP8,2671,O=C1C2=CC=CC=C2C(=O)CC1=O
UYGXLIUFUDWVHR-UHFFFAOYNA-N,CHEMBL121729,4317,N,4.82,chembl20,105195,9606,MMP8,2671,S(NO)(C=1C=CC(N(=O)=O)=CC1)(=O)=O
YNYVAXYTOIAEND-UHFFFAOYNA-N,CHEMBL121592,4317,N,4.8,chembl20,105195,9606,MMP8,2671,S(C1=CC(N(=O)=O)=CC=C1)(NO)(=O)=O
CDRGZNIXJYUKQP-UHFFFAOYNA-N,CHEMBL121501,4317,N,4.62,chembl20,105195,9606,MMP8,2671,S(C1=C(N(=O)=O)C=CC=C1)(NO)(=O)=O
JIFLEYNNNKKNOQ-UHFFFAOYNA-N,CHEMBL51638,4317,A,5.96,chembl20,102106,9606,MMP8,2671,S(C=1C=CC(=CC1)OC)(=O)(=O)CCCS
QRDZFPUVLYEQTA-XWKXFZRBNA-N,CHEMBL1427477,4317,N,2.79,chembl20,715233,9606,MMP8,2671,OC(=O)C1=C2N=CC=CC2=CC=C1
LSHFFFVFHVCTTH-UHFFFAOYNA-N,CHEMBL122950,4317,A,5.0,chembl20,105195,9606,MMP8,2671,S(C=1C=C(N)C(=CC1)OC)(NO)(=O)=O
ZQFMPAUDTOJXIB-UHFFFAOYNA-N,CHEMBL332362,4317,A,5.82,chembl20,105195,9606,MMP8,2671,S(C1=CC(C(F)(F)F)=CC=C1)(NO)(=O)=O
ARYMJWFLWQKXFD-NDKGDYFDNA-N,CHEMBL1235568,4317,N,3.48,chembl20,715233,9606,MMP8,2671,OS(=O)(C)=NC1=CC=CC=2C1=NC=CC2
